Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
30	0.010435	0.00076614	0.0026488	0.00030526	0.0020133	0.0012617	0.00070511	0.00011965	0.00059056	0.00016323	-15982385.764
60	0.010256	0.00077178	0.0025426	0.00030653	0.0020544	0.0012561	0.00069442	0.00013105	0.00058347	0.00015308	-15981909.858
90	0.010161	0.00077219	0.0025683	0.00030652	0.0018734	0.001258	0.00069689	0.0001441	0.00058587	0.00015655	-15981979.891
120	0.010283	0.00077979	0.002618	0.00030843	0.001977	0.0012577	0.00069063	0.00014473	0.0005827	0.00015893	-15981865.399
150	0.010207	0.00077254	0.0025746	0.00030693	0.0022616	0.0012516	0.00068837	0.00014578	0.0005782	0.00014935	-15982308.125
180	0.010243	0.00077777	0.0025911	0.00030984	0.0020116	0.0012556	0.00068612	0.00013899	0.00057475	0.00015196	-15982213.420
210	0.010314	0.00077589	0.0027215	0.00031022	0.001809	0.0012577	0.00068639	0.0001244	0.0005729	0.00016071	-15982637.377
240	0.010299	0.00078641	0.002741	0.00031583	0.0022258	0.0012657	0.0006886	0.00011856	0.00057219	0.00013504	-15982228.366
270	0.010338	0.00079374	0.0025008	0.00032065	0.0021872	0.0012674	0.00068487	0.0001187	0.00056575	0.00013048	-15982552.751
300	0.010244	0.00078748	0.0026137	0.00031842	0.0019544	0.0012658	0.00068982	0.00012072	0.00056931	0.00014374	-15982359.433
330	0.01018	0.00077744	0.0025785	0.00031212	0.0019302	0.0012582	0.00069172	0.00011212	0.00057497	0.00014618	-15982512.294
360	0.01021	0.00077527	0.0025958	0.00031058	0.0019008	0.0012625	0.00069635	0.00011782	0.00058007	0.00014614	-15982489.929
390	0.01035	0.00077744	0.0024619	0.00031206	0.001946	0.0012656	0.00069723	0.00012909	0.00057967	0.00014107	-15982464.861
420	0.010256	0.00076628	0.002733	0.00030561	0.0021013	0.0012584	0.00070085	0.00011881	0.00058643	0.00013172	-15982590.166
450	0.010267	0.0007589	0.0027504	0.00030263	0.0022736	0.0012628	0.00070911	0.00011612	0.00059341	0.00012307	-15982678.361
480	0.010238	0.00076016	0.0026782	0.00030364	0.0023778	0.0012596	0.00071029	0.00010492	0.00059341	0.00011564	-15982177.914
510	0.010233	0.00075689	0.0028019	0.00030207	0.0019697	0.0012502	0.00070536	9.7912e-05	0.0005898	0.00013354	-15982572.605
540	0.010244	0.0007625	0.0026222	0.00030529	0.0022497	0.0012504	0.00069553	0.00010107	0.00057972	0.00012631	-15982456.137
